stimulus,correct_answer,correct_1,living_rooms_1,bedrooms_1,living_rooms_2,kitchens_1,kitchens_2,bedrooms_2,subject_id,task,block_total,block_scene,trial_block,trial_total,target_cat,category,cond_cat,cond_mem,conceptual,perceptual,typicality,n,p_typicality,p_conceptual,p_perceptual,r_typicality,r_conceptual,r_perceptual,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,kitchen_a_categorization_trials.thisRepN,kitchen_a_categorization_trials.thisTrialN,kitchen_a_categorization_trials.thisN,kitchen_a_categorization_trials.thisIndex,kitchen_a_memotest.thisRepN,kitchen_a_memotest.thisTrialN,kitchen_a_memotest.thisN,kitchen_a_memotest.thisIndex,kitchen_b_categorization_trials.thisRepN,kitchen_b_categorization_trials.thisTrialN,kitchen_b_categorization_trials.thisN,kitchen_b_categorization_trials.thisIndex,kitchen_b_memotest.thisRepN,kitchen_b_memotest.thisTrialN,kitchen_b_memotest.thisN,kitchen_b_memotest.thisIndex,living_a_categorization_trials.thisRepN,living_a_categorization_trials.thisTrialN,living_a_categorization_trials.thisN,living_a_categorization_trials.thisIndex,living_a_memotest.thisRepN,living_a_memotest.thisTrialN,living_a_memotest.thisN,living_a_memotest.thisIndex,living_b_categorization_trials.thisRepN,living_b_categorization_trials.thisTrialN,living_b_categorization_trials.thisN,living_b_categorization_trials.thisIndex,living_b_memotest.thisRepN,living_b_memotest.thisTrialN,living_b_memotest.thisN,living_b_memotest.thisIndex,bed_a_categorization_trials.thisRepN,bed_a_categorization_trials.thisTrialN,bed_a_categorization_trials.thisN,bed_a_categorization_trials.thisIndex,bed_a_memotest.thisRepN,bed_a_memotest.thisTrialN,bed_a_memotest.thisN,bed_a_memotest.thisIndex,bed_b_categorization_trials.thisRepN,bed_b_categorization_trials.thisTrialN,bed_b_categorization_trials.thisN,bed_b_categorization_trials.thisIndex,bed_b_memotest.thisRepN,bed_b_memotest.thisTrialN,bed_b_memotest.thisN,bed_b_memotest.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,bed_b_text_2.started,bed_b_block_no.started,bed_picture_image.started,bed_picture_resp.keys,bed_picture_resp.corr,bed_picture_resp.rt,bed_picture_resp.duration,bed_picture_image.stopped,memotest_task_slider_key_resp.keys,memotest_task_slider_key_resp.rt,memotest_task_slider_key_resp.duration,kitchen_fix.started,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
stimuli/train_7.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.24692962499103,,,,,,,,j,92.30179374996806,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_6.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.99601454200456,,,,,,,,j,95.07702883298043,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_18.jpg,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.76360158296302,,,,,,,,j,96.67530383297708,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_10.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.84664554195479,,,,,,,,j,99.33784291695338,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_5.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.68046666699229,,,,,,,,j,102.86543916695518,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_9.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.02976662496803,,,,,,,,j,105.85384933295427,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_20.jpg,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.16292729199631,,,,,,,,j,108.89308374997927,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_12.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.03041945799487,,,,,,,,j,111.48880829196423,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_4.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.96409074997064,,,,,,,,j,114.47776970796986,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_11.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.08188508299645,,,,,,,,j,117.893751333002,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
